"Temperatur MAX","Temperatur MIN","Kelembapan"
"32.0","19.4","85"
"32.9","22.6","84"
"31.6","20.5","84"
"32.8","22.0","79"
"32.8","20.6","82"
"32.0","17.4","81"
"29.9","18.4","81"
"31.4","17.8","77"
"33.4","18.8","78"
"34.2","20.2","78"
"34.0","19.2","82"
"33.3","22.2","84"
"32.4","23.6","85"
"32.2","22.4","86"
"33.4","21.2","84"
"33.6","21.0","82"
"33.2","22.2","83"
"32.8","21.6","85"
"31.4","18.8","81"
"32.0","17.0","77"
"32.2","19.6","77"
"33.8","21.2","82"
"33.8","21.2","84"
"32.6","22.6","87"
"30.6","24.1","87"
"30.8","23.3","85"
"32.0","22.3","85"
"32.1","23.4","85"
"32.2","23.2","82"
"31.2","22.0","84"
"30.4","20.9","84"
"30.5","20.5","80"
"31.5","20.6","78"
"33.3","21.9","77"
"33.1","23.3","82"
"31.7","24.0","85"
"31.3","24.2","74"
"31.6","23.0","87"
"31.6","22.9","86"
"32.1","23.5","86"
"31.8","22.2","84"
"30.8","21.2","84"
"30.9","19.9","82"
"31.1","20.1","80"
"32.1","20.5","78"
"33.7","21.4","78"
"33.9","23.8","82"
"32.5","24.3","84"
"32.6","23.7","83"
"31.8","23.7","88"
"33.1","23.6","84"
"33.0","23.6","84"
"32.4","23.9","83"
"32.1","22.4","84"
"31.7","22.0","84"
"31.6","21.3","80"
"32.4","22.4","83"
"32.8","26.9","84"
"32.9","22.8","85"
"31.3","24.2","83"
"31.4","23.7","84"
"31.2","22.6","85"
"32.2","23.0","83"
"32.4","22.8","83"
"32.2","21.9","83"
"31.1","21.0","86"
"30.5","20.5","84"
"30.8","20.1","81"
"32.0","22.5","79"
"32.6","23.3","82"
"32.2","23.9","86"
"31.2","24.4","84"
"30.7","23.6","86"
"31.4","23.4","84"
"32.6","23.2","82"
"33.4","23.4","80"
"32.4","22.3","80"
"31.6","21.6","82"
"31.0","20.9","80"
"31.1","20.6","80"
"32.3","21.5","79"
"33.2","22.3","77"
"32.6","24.2","82"
"32.0","24.9","83"
"31.6","23.9","86"
"32.2","23.3","84"
"31.9","23.3","85"
"32.5","23.4","83"
"31.9","22.1","81"
"30.7","20.6","82"
"30.6","19.5","80"
"30.9","19.8","79"
"31.8","20.4","78"
"34.0","21.5","75"
"35.8","20.2","77"
"35.8","21.4","82"
"33.8","23.0","75"
"33.4","22.3","78"
"33.8","22.2","80"
"33.6","22.4","76"
"33.8","22.8","77"
"32.6","19.2","76"
"32.2","18.8","74"
"33.4","18.4","73"
"34.4","20.2","72"
"33.4","20.8","77"
"35.2","21.8","78"
"34.0","22.4","80"
"33.4","22.2","84"
"32.4","22.4","81"
"33.4","21.0","79"
"33.2","20.4","75"
"33.7","20.5","78"
"33.2","20.2","81"
"32.2","17.8","75"
"32.8","19.8","76"
"32.9","20.6","76"
"34.0","20.0","74"
"34.0","21.8","83"
"33.5","22.4","81"
"31.4","23.8","84"
"31.8","23.2","86"
"32.9","24.1","84"
"32.8","24.0","83"
"32.8","23.7","84"
"31.6","22.8","86"
"31.2","21.5","82"
"31.4","22.1","83"
"31.9","23.3","84"
"31.8","23.8","87"
"32.1","23.7","86"
"31.5","24.0","85"
